Latitude,Longtitude,FlightNumber,ArcTangent,Distance
18.4394,-66.00213333,FFT97,1.568157002,3.666768331
18.4394,-66.00213333,FFT119_FFT123,-1.095350876,16.07036502
18.4394,-66.00213333,FFT121,-1.047568406,19.08440441
18.4394,-66.00213333,FFT114,-0.277040349,24.43121652
18.4394,-66.00213333,FFT39,-1.515279143,2.367700656
18.4394,-66.00213333,FFT109_FFT113,-0.406982786,23.33903086
18.4394,-66.00213333,FFT105_FFT107_FFT111_FFT113_FFT9358,-0.992562169,18.27840379
18.4394,-66.00213333,FFT101,-0.881123132,23.88441906
18.4394,-66.00213333,FFT103,-0.632648031,21.62306792
