SchedDepLat,SchedDepLong,ArrivalLat,ArrivalLong,SchedDep_Epoch,FlightNumDec,FlightNumber,ArcTangent,Distance
39.87208333,-75.24066389,42.36294444,-71.00638889,1659358320,7.07E+13,FFT2286,1.039052765,4.912583215
36.08004444,-115.1522361,39.71730556,-86.29463889,1659385140,7.07E+13,FFT2038,1.445415773,29.0859173
18.4394,-66.00213333,28.42938889,-81.309,1659274200,7.07E+13,FFT9358,-0.992562169,18.27840379
33.67974167,-78.92832222,39.87208333,-75.24066389,1659315600,7.07E+13,FFT2386,0.537118278,7.207212998
39.04883889,-84.66782222,33.6367,-84.42786389,1659390960,7.07E+13,FFT1699,-0.044308043,5.417455802
18.4394,-66.00213333,28.42938889,-81.309,1659353400,7.07E+11,FFT107,-0.992562169,18.27840379
18.57078056,-68.36618611,39.87208333,-75.24066389,1659370860,7070845051,FFT23,-0.312173496,22.3831174
41.40940833,-81.85469167,27.97547222,-82.53325,1659398220,7.07E+13,FFT2435,0.05046787,13.45106244
36.08004444,-115.1522361,33.43427778,-112.0115833,1659363480,7.07E+13,FFT2152,-0.870715998,4.106553449
36.08004444,-115.1522361,27.97547222,-82.53325,1659334980,7.07E+13,FFT2098,-1.327265898,33.61074746
44.48463333,-88.12971389,39.86166667,-104.6731667,1659310260,7.07E+11,FFT787,1.298303387,17.17724226
36.08004444,-115.1522361,36.124475,-86.67818056,1659337140,7.07E+13,FFT2010,1.569235941,28.4740902
18.50361111,-77.91333333,27.97547222,-82.53325,1659370740,7070845653,FFT85,-0.453801071,10.53849054
45.58870833,-122.5968694,36.08004444,-115.1522361,1659386700,7.07E+13,FFT2170,-0.664246376,12.07630962
39.87208333,-75.24066389,32.89863889,-80.04052778,1659390900,7.07E+13,FFT2311,0.602834474,8.465673081
38.74869722,-90.370025,28.42938889,-81.309,1659395880,7.07E+13,FFT1210,-0.720563378,13.7328183
28.42938889,-81.309,39.87208333,-75.24066389,1659346200,7.07E+13,FFT1166,0.487611535,12.95221831
36.08004444,-115.1522361,37.72125,-122.2211389,1659358800,7.07E+13,FFT2195,-1.342665474,7.256923762
39.86166667,-104.6731667,33.67566111,-117.8682333,1659309420,7.07E+11,FFT583,1.132408937,14.5731413
40.27669444,-74.81347222,41.78597222,-87.75241667,1659389460,7.07E+11,FFT839,-1.454674962,13.02667275
34.05601389,-117.6011889,32.89723333,-97.03769444,1659365640,7.07E+13,FFT2734,-1.514504516,20.596118
39.87208333,-75.24066389,39.86166667,-104.6731667,1659317160,7.07E+11,FFT521,1.57044241,29.43250465
28.42938889,-81.309,39.17572778,-76.66899167,1659321360,7.07E+13,FFT1242,0.407595726,11.7052756
32.89723333,-97.03769444,28.42938889,-81.309,1659312120,7.07E+13,FFT1246,-1.294029623,16.35094684
33.6367,-84.42786389,42.94041667,-78.73058333,1659348300,7.07E+13,FFT1366,0.549462627,10.90954397
29.99327778,-90.25902778,39.87208333,-75.24066389,1659402720,7.07E+13,FFT2338,0.988970075,17.97615234
28.42938889,-81.309,40.79613611,-73.10066389,1659318600,7.07E+13,FFT1092,0.585975469,14.84295181
33.6367,-84.42786389,29.99327778,-90.25902778,1659348900,7.07E+13,FFT1499,1.012327151,6.875827062
33.6367,-84.42786389,27.97547222,-82.53325,1659399120,7.07E+13,FFT2551,-0.322948431,5.969846042
21.04274167,-86.8732,27.97547222,-82.53325,1659299700,7.07E+11,FFT168,0.559324381,8.179114798
18.57078056,-68.36618611,25.79536111,-80.29011667,1659301140,7070845455,FFT67,-1.026057793,13.94183217
29.98443611,-95.34144167,28.42938889,-81.309,1659390120,7.07E+13,FFT1250,-1.460428645,14.11834236
39.87208333,-75.24066389,41.40940833,-81.85469167,1659308220,7.07E+13,FFT2267,-1.342417451,6.790341054
39.86166667,-104.6731667,28.42938889,-81.309,1659331680,7.07E+11,FFT678,-1.115738704,26.01117569
28.42938889,-81.309,18.49486111,-67.12944444,1659366300,7.07E+11,FFT138,-0.959652126,17.31342364
33.6367,-84.42786389,39.87208333,-75.24066389,1659357000,7.07E+13,FFT2382,0.974506869,11.10336206
33.6367,-84.42786389,41.40940833,-81.85469167,1659391260,7.07E+13,FFT2450,0.319696135,8.187564354
28.42938889,-81.309,21.04274167,-86.8732,1659357660,7.07E+11,FFT163,0.64559583,9.247858065
35.03893056,-106.6082611,36.08004444,-115.1522361,1659323640,7.07E+11,FFT630,-1.449540543,8.607172992
36.08004444,-115.1522361,29.53395833,-98.46905833,1659362400,7.07E+13,FFT2074,-1.1968792,17.9214861
33.43427778,-112.0115833,38.80581389,-104.700775,1659315960,7.07E+13,FFT2822,0.937134003,9.072007395
25.79536111,-80.29011667,18.57078056,-68.36618611,1659377100,7070845454,FFT66,-1.026057793,13.94183217
37.61880556,-122.3754167,36.08004444,-115.1522361,1659229140,7.07E+13,FFT2078,-1.360902966,7.38526396
33.6367,-84.42786389,32.89723333,-97.03769444,1659377940,7.07E+13,FFT1551,1.512221331,12.63149387
39.04883889,-84.66782222,39.87208333,-75.24066389,1659370020,7.07E+13,FFT1706,1.483690409,9.463035749
39.86166667,-104.6731667,38.74869722,-90.370025,1659360360,7.07E+11,FFT698,-1.493139871,14.34637806
35.87763889,-78.78747222,41.93903333,-72.68431667,1659353100,7.07E+13,FFT1610,0.788831167,8.601686476
39.86166667,-104.6731667,35.81108889,-83.99406944,1659385140,7.07E+11,FFT586,-1.377367465,21.0720726
28.42938889,-81.309,35.87763889,-78.78747222,1659319320,7.07E+13,FFT1192,0.326428878,7.863493524
